date,open,close,high,low,volume,change,pct_change
2016-08-16,3403.3800,3378.2500,3418.6900,3372.0200,196389740,-15.1700,-0.0045
2016-08-17,3377.7700,3373.0500,3394.3900,3356.9200,138847688,-5.2000,-0.0015
2016-08-18,3369.9500,3364.4900,3394.7900,3349.6900,142380169,-8.5600,-0.0025
2016-08-19,3358.5500,3365.0200,3374.0400,3341.1900,119961508,0.5300,0.0002
2016-08-22,3364.6800,3336.7900,3372.8300,3335.4700,107951008,-28.2300,-0.0084
2016-08-23,3332.6200,3341.8300,3359.6500,3324.9600,92924516,5.0400,0.0015
2016-08-24,3341.9300,3329.8600,3348.1300,3323.7300,81191429,-11.9700,-0.0036
2016-08-25,3314.0800,3308.9700,3315.0800,3279.8100,100589153,-20.8900,-0.0063
2016-08-26,3312.5000,3307.0900,3328.9500,3301.7400,81530691,-1.8800,-0.0006
2016-08-29,3306.5700,3307.7800,3315.0800,3297.0700,77036333,0.6900,0.0002
2016-08-30,3310.3200,3311.9900,3325.1200,3304.6000,75725987,4.2100,0.0013
2016-08-31,3310.5700,3327.7900,3333.9700,3304.6600,79570805,15.8000,0.0048
2016-09-01,3326.7400,3301.5800,3329.3500,3301.2100,84947219,-26.2100,-0.0079
2016-09-02,3298.7200,3314.1100,3320.4300,3295.7600,82791803,12.5300,0.0038
2016-09-05,3321.0100,3319.6800,3338.4200,3314.6300,78292477,5.5700,0.0017
2016-09-06,3322.0200,3342.6300,3347.9500,3300.1300,98283998,22.9500,0.0069
2016-09-07,3344.0700,3340.8200,3357.3600,3337.7500,102940106,-1.8100,-0.0005
2016-09-08,3338.0100,3339.5600,3343.4000,3328.2300,71916158,-1.2600,-0.0004
2016-09-09,3339.3700,3318.0400,3344.9500,3318.0400,82657036,-21.5200,-0.0064
2016-09-12,3271.8700,3262.6000,3276.7200,3234.5700,122917682,-55.4400,-0.0167
2016-09-13,3265.3400,3260.3300,3269.2200,3246.3900,67180288,-2.2700,-0.0007
2016-09-14,3245.7400,3238.7300,3255.0000,3231.3400,70432697,-21.6000,-0.0066
